Set,Species,Number,Mom,Neighbour,Tube,Indiv_ID,Flower_Count,Separate_Flr,Date_Collected,Diameter,Date_Measured,Measured_After_Collection,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Reproductive_Biomass_mg,Seed_Biomass_mg,Inflor_Height,Branch_Lengths,Vegetative_Biomass,Empty_Flrs,Buds,Notes
D,gla,1,2,5,1,Dgla125,3,no,5/2/18,NA,NA,NA,28,10,0,0,6.858,NA,,,0.012,1,0,
E,cal,1,1,1,1,Ecal111,2,no,5/1/18,NA,NA,NA,38,46,8,9,17.621,NA,,,0.011,0,0,
E,cal,1,1,2,1,Ecal112,2,no,5/1/18,NA,NA,NA,106,9,17,1,22.312,NA,,,0.016,0,0,
E,cal,1,1,3,1,Ecal113,3,no,5/1/18,NA,NA,NA,166,58,22,1,43.248,NA,,,0.037,0,0,
E,cal,1,1,4,1,Ecal114,3,no,5/1/18,5.5,5/1/18,no,35,21,8,2,15.352,NA,,,0.024,0,1,
E,cal,1,1,5,1,Ecal115,2,no,5/1/18,NA,NA,NA,42,7,10,4,13.792,NA,,,0.009,0,0,
E,cal,1,2,1,1,Ecal121,4,no,4/29/18,NA,NA,NA,65,65,10,15,30.067,NA,,,0.025,0,1,
E,cal,1,2,2,1,Ecal122,3,no,4/29/18,NA,NA,NA,25,52,6,8,20.293,NA,,,0.03,0,1,
E,cal,1,2,3,1,Ecal123,2,no,4/29/18,NA,NA,NA,44,11,3,2,10.936,NA,,,0.012,0,1,
E,cal,1,2,4,1,Ecal124,1,no,4/29/18,NA,NA,NA,11,9,1,5,5.534,NA,,,0.01,0,0,
E,cal,1,2,5,1,Ecal125,1,no,4/29/18,1.5,4/30/18,yes,4,5,1,4,1.491,NA,,,need microbalance,0,0,
E,fre,1,1,1,1,Efre111,2,no,4/29/18,NA,NA,NA,163,15,12,1,22.002,NA,,,0.008,0,0,
E,fre,1,1,2,1,Efre112,2,no,4/29/18,NA,NA,NA,140,24,10,1,15.295,NA,,,0.011,0,0,
E,fre,1,1,3,1,Efre113,2,no,4/29/18,NA,NA,NA,24,4,1,2,5.514,NA,,,0.006,0,0,
E,fre,1,1,4,1,Efre114,2,no,4/29/18,NA,NA,NA,39,0,5,0,7.420,NA,,,0.009,0,0,
E,fre,1,1,5,1,Efre115,3,no,4/29/18,NA,NA,NA,212,19,15,1,28.929,NA,,,0.025,0,0,
E,fre,1,2,1,1,Efre121,2,no,4/29/18,NA,NA,NA,239,3,8,0,37.970,NA,,,0.033,0,0,
E,fre,1,2,2,1,Efre122,1,no,4/29/18,NA,NA,NA,69,4,8,0,10.712,NA,,,0.011,0,0,
E,fre,1,2,3,1,Efre123,3,no,4/29/18,NA,NA,NA,355,15,23,0,52.151,NA,,,0.033,0,0,
E,fre,1,2,4,1,Efre124,1,no,4/29/18,5.5,4/30/18,yes,34,31,8,3,12.780,NA,,,0.013,0,0,
E,fre,1,2,5,1,Efre125,2,no,4/29/18,NA,NA,NA,225,3,16,0,24.136,NA,,,0.027,0,0,
E,gla,1,1,1,1,Egla111,2,no,5/1/18,2,5/1/18,no,1,8,0,0,2.035,NA,,,need microbalance,1,0,
E,gla,1,1,2,1,Egla112,1,yes,5/1/18,2.5,5/1/18,no,10,1,0,0,3.685,NA,,,0.003,0,0,
E,gla,1,1,2,2,Egla112,2,yes,5/1/18,NA,NA,NA,11,12,0,0,3.547,NA,,,NA,0,0,
E,gla,1,1,3,1,Egla113,3,no,5/1/18,NA,NA,NA,20,0,0,0,6.117,NA,,,0.01,0,0,2 plants?
E,gla,1,1,4,1,Egla114,1,no,5/1/18,2.5,5/1/18,no,14,1,0,0,3.249,NA,,,need microbalance,0,0,
E,gla,1,1,5,1,Egla115,1,no,5/1/18,1.5,5/1/18,no,4,2,0,0,0.662,NA,,,need microbalance,0,0,
E,gla,1,2,1,1,Egla121,0,no,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,no collection - mom ruined
E,gla,1,2,2,1,Egla122,0,no,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,no collection - mom ruined
E,gla,1,2,3,1,Egla123,0,yes,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,no collection - mom ruined
E,gla,1,2,4,1,Egla124,0,yes,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,no collection - mom ruined
E,gla,1,2,5,1,Egla125,0,no,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,no collection - mom ruined
F,cal,1,1,1,1,Fcal111,1,no,5/1/18,5,5/1/18,no,34,9,5,0,7.305,NA,,,0.006,0,1,
F,cal,1,1,2,1,Fcal112,2,no,5/1/18,NA,NA,NA,0,9,0,0,6.399,NA,,,need microbalance,0,0,
F,cal,1,1,3,1,Fcal113,2,no,5/1/18,NA,NA,NA,33,24,4,8,8.415,NA,,,0.01,0,0,
F,cal,1,1,4,1,Fcal114,3,no,5/1/18,NA,NA,NA,90,13,11,0,16.555,NA,,,0.022,0,1,
F,cal,1,1,5,1,Fcal115,1,no,5/1/18,5,5/1/18,no,65,6,7,0,6.643,NA,,,0.011,0,0,
F,cal,1,2,1,1,Fcal121,1,no,5/1/18,NA,NA,NA,57,2,8,0,10.961,NA,,,0.005,0,0,
F,cal,1,2,2,1,Fcal122,1,no,5/1/18,7,5/1/18,no,57,11,0,0,13.886,NA,,,0.009,0,0,
F,cal,1,2,3,1,Fcal123,1,no,5/1/18,3,5/1/18,no,14,1,4,0,4.674,NA,,,0.004,0,1,
F,cal,1,2,4,1,Fcal124,1,no,5/1/18,3,5/1/18,no,13,1,4,1,3.493,NA,,,need microbalance,0,1,
F,cal,1,2,5,1,Fcal125,3,no,5/1/18,NA,NA,NA,102,15,17,2,26.585,NA,,,0.027,0,0,
F,fre,1,1,1,1,Ffre111,2,no,5/1/18,NA,NA,NA,106,20,5,0,20.325,NA,,,0.029,0,0,
F,fre,1,1,2,1,Ffre112,2,no,5/1/18,NA,NA,NA,184,19,1,0,21.633,NA,,,0.027,0,0,
F,fre,1,1,3,1,Ffre113,2,no,5/1/18,5.5,5/1/18,no,69,13,5,1,8.178,NA,,,0.011,0,0,
F,fre,1,1,4,1,Ffre114,1,no,5/1/18,5,5/1/18,no,60,17,7,0,7.551,NA,,,0.023,0,0,
F,fre,1,1,5,1,Ffre115,2,no,5/1/18,NA,NA,NA,54,18,6,0,9.960,NA,,,0.015,0,0,
F,fre,1,2,1,1,Ffre121,1,no,5/1/18,6,5/1/18,no,76,6,1,0,5.617,NA,,,0.09,0,0,
F,fre,1,2,2,1,Ffre122,1,no,5/1/18,NA,NA,NA,2,1,0,0,2.421,NA,,,0.012,0,0,
F,fre,1,2,3,1,Ffre123,2,no,5/1/18,NA,NA,NA,194,14,7,0,21.886,NA,,,0.025,0,0,
F,fre,1,2,4,1,Ffre124,1,no,5/1/18,NA,NA,NA,26,14,0,0,2.983,NA,,,0.013,0,0,
F,fre,1,2,5,1,Ffre125,1,no,5/1/18,1,5/1/18,no,4,2,4,0,0.613,NA,,,need microbalance,0,0,
F,gla,1,1,1,1,Fgla111,3,no,5/1/18,NA,NA,NA,9,4,0,0,0.944,NA,,,0.003,1,0,
F,gla,1,1,2,1,Fgla112,1,yes,5/1/18,1,5/1/18,no,4,1,0,0,0.949,NA,,,need microbalance,0,0,
F,gla,1,1,2,2,Fgla112,0,yes,5/1/18,NA,NA,NA,0,0,0,0,0.000,NA,,,,0,0,
F,gla,1,1,3,1,Fgla113,2,no,5/1/18,NA,NA,NA,25,0,0,0,4.310,NA,,,0.009,0,0,
F,gla,1,1,4,1,Fgla114,2,no,5/1/18,NA,NA,NA,11,0,0,0,2.760,NA,,,need microbalance,0,1,
F,gla,1,1,5,1,Fgla115,2,no,5/1/18,NA,NA,NA,14,5,0,0,2.905,NA,,,need microbalance,0,0,
F,gla,1,2,1,1,Fgla121,1,no,5/1/18,1,5/1/18,no,2,6,0,0,0.653,NA,,,need microbalance,0,0,
F,gla,1,2,2,1,Fgla122,1,no,5/1/18,2,5/1/18,no,6,4,0,0,1.511,NA,,,need microbalance,0,0,
F,gla,1,2,3,1,Fgla123,1,yes,5/1/18,2,5/1/18,no,12,2,0,0,2.612,NA,,,needs to be reweighed,0,0,
F,gla,1,2,3,2,Fgla123,1,yes,5/1/18,NA,NA,NA,0,3,0,0,0.601,NA,,,--,0,0,
F,gla,1,2,4,NA,Fgla124,0,yes,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,No Collection
F,gla,1,2,5,NA,Fgla125,0,no,5/1/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,No Collection
G,cal,1,1,1,1,Gcal111,1,no,5/1/18,NA,NA,NA,8,5,0,0,0.856,NA,,,need microbalance,0,0,
G,cal,1,1,2,1,Gcal112,2,no,5/1/18,NA,NA,NA,27,12,2,3,10.060,NA,,,0.017,0,1,
G,cal,1,1,3,1,Gcal113,2,no,5/1/18,NA,NA,NA,56,36,12,2,15.906,NA,,,0.017,0,0,
G,cal,1,1,4,1,Gcal114,3,no,5/1/18,NA,NA,NA,68,13,12,0,12.522,NA,,,0.014,0,1,
G,cal,1,1,5,1,Gcal115,1,no,5/1/18,5.5,5/1/18,no,58,14,8,1,7.233,NA,,,0.009,0,0,
G,cal,1,2,1,1,Gcal121,2,no,5/1/18,NA,NA,NA,67,23,5,0,8.294,NA,,,0.015,0,0,
G,cal,1,2,2,1,Gcal122,1,no,5/1/18,2,5/1/18,no,1,6,1,3,0.704,NA,,,need microbalance,0,0,
G,cal,1,2,3,1,Gcal123,1,no,5/1/18,4.5,5/1/18,no,3,10,3,0,4.003,NA,,,?,0,0,Envelope missing?
G,cal,1,2,4,1,Gcal124,1,no,5/1/18,3,5/1/18,no,0,11,5,0,1.547,NA,,,need microbalance,0,0,
G,cal,1,2,5,1,Gcal125,2,no,5/1/18,NA,NA,NA,29,6,6,0,7.012,NA,,,0.013,0,0,herbiv? Infected?
G,fre,1,1,1,1,Gfre111,3,no,4/29/18,NA,NA,NA,196,34,11,6,31.808,NA,,,0.039,0,0,
G,fre,1,1,2,1,Gfre112,2,no,4/29/18,NA,NA,NA,122,3,7,0,18.559,NA,,,0.022,0,0,
G,fre,1,1,3,1,Gfre113,1,no,4/29/18,NA,NA,NA,24,2,0,0,2.422,NA,,,need microbalance,0,0,
G,fre,1,1,4,1,Gfre114,1,no,4/29/18,NA,NA,NA,120,8,1,0,13.605,NA,,,0.014,0,1,
G,fre,1,1,5,1,Gfre115,1,no,4/29/18,NA,NA,NA,21,3,0,0,2.205,NA,,,0.003,0,0,
G,fre,1,2,1,1,Gfre121,3,no,4/29/18,NA,NA,NA,28,7,3,6,7.784,NA,,,0.01,1,0,
G,fre,1,2,2,1,Gfre122,2,no,4/29/18,NA,NA,NA,177,4,3,0,15.859,NA,,,0.021,0,0,
G,fre,1,2,3,1,Gfre123,2,no,4/29/18,NA,NA,NA,47,4,0,0,3.612,NA,,,0.005,0,0,two plants. biomass is for both plants together
G,fre,1,2,4,1,Gfre124,3,no,4/29/18,NA,NA,NA,85,34,8,0,14.417,NA,,,0.019,0,0,
G,fre,1,2,5,1,Gfre125,3,no,4/29/18,NA,NA,NA,130,14,4,0,23.395,NA,,,0.023,0,0,
G,gla,1,1,1,1,Ggla111,3,no,4/29/18,NA,NA,NA,44,2,0,0,6.922,NA,,,0.011,0,0,
G,gla,1,1,2,1,Ggla112,2,no,4/29/18,2,4/30/18,yes,15,5,0,0,3.308,NA,,,0.008,1,0,"2 flowers, but one empty so full one diam measured."
G,gla,1,1,3,1,Ggla113,2,no,4/29/18,2.5,4/30/18,yes,15,0,0,0,3.131,NA,,,0.008,1,0,"2 flowers, but one empty so full one diam measured."
G,gla,1,1,4,1,Ggla114,2,no,4/29/18,NA,NA,NA,14,0,0,0,2.455,NA,,,0.004,0,0,
G,gla,1,1,5,1,Ggla115,2,no,4/29/18,2.5,4/30/18,yes,23,7,0,0,4.329,NA,,,0.015,1,0,"2 flowers, but one empty so full one diam measured."
G,gla,1,2,1,1,Ggla121,2,no,4/29/18,NA,NA,NA,11,1,0,0,2.836,NA,,,0.004,1,0,
G,gla,1,2,2,1,Ggla122,2,no,4/29/18,NA,NA,NA,9,5,0,0,1.745,NA,,,0.004,0,0,
G,gla,1,2,3,1,Ggla123,2,no,4/29/18,NA,NA,NA,7,2,0,0,1.079,NA,,,need microbalance,0,0,
G,gla,1,2,4,1,Ggla124,1,no,4/29/18,NA,NA,NA,3,3,0,0,1.065,NA,,,need microbalance,0,0,
G,gla,1,2,5,1,Ggla125,4,no,4/29/18,NA,NA,NA,16,8,0,0,3.509,NA,,,0.006,2,0,
H,cal,1,1,1,1,Hcal111,2,no,4/29/18,NA,NA,NA,34,6,7,0,9.235,NA,,,0.003,0,1,
H,cal,1,1,2,1,Hcal112,1,no,4/29/18,2,4/30/18,yes,5,3,5,0,1.670,NA,,,need microbalance,0,0,
H,cal,1,1,3,1,Hcal113,2,no,4/29/18,NA,NA,NA,98,31,15,1,25.305,NA,,,0.014,0,0,
H,cal,1,1,4,1,Hcal114,1,no,4/29/18,2,4/30/18,yes,0,5,2,3,1.109,NA,,,need microbalance,0,0,
H,cal,1,1,5,1,Hcal115,3,no,4/29/18,NA,NA,NA,95,63,12,7,25.851,NA,,,0.031,0,0,
H,cal,1,2,1,1,Hcal121,5,no,4/29/18,NA,NA,NA,238,52,38,0,41.486,NA,,,0.042,0,0,
H,cal,1,2,2,1,Hcal122,1,no,4/29/18,NA,NA,NA,36,19,5,0,12.906,NA,,,0.007,0,0,
H,cal,1,2,3,1,Hcal123,1,no,4/29/18,NA,NA,NA,46,9,6,1,10.125,NA,,,0.008,0,0,
H,cal,1,2,4,1,Hcal124,2,no,4/29/18,4,4/30/18,yes,24,3,7,0,7.175,NA,,,0.011,0,0,2nd flr is bud so diam of developed flr measured.
H,cal,1,2,5,1,Hcal125,1,no,4/29/18,NA,NA,NA,7,5,2,1,3.217,NA,,,need microbalance,1,0,
H,fre,1,1,1,1,Hfre111,1,no,5/1/18,6,5/1/18,no,41,7,6,0,4.064,NA,,,0.009,0,0,
H,fre,1,1,2,1,Hfre112,1,no,5/1/18,4,5/1/18,no,51,8,7,1,8.053,NA,,,0.004,0,0,
H,fre,1,1,3,1,Hfre113,1,no,5/1/18,3,5/1/18,no,11,7,7,0,1.826,NA,,,0.002,0,0,
H,fre,1,1,4,1,Hfre114,1,no,5/1/18,NA,NA,NA,0,0,0,0,0.102,NA,,,need microbalance,0,1,
H,fre,1,1,5,1,Hfre115,1,no,5/1/18,2,5/1/18,no,1,10,1,2,0.892,NA,,,0.003,0,0,
H,fre,1,2,1,1,Hfre121,1,no,5/1/18,NA,NA,NA,72,3,0,0,6.021,NA,,,0.008,0,0,
H,fre,1,2,2,1,Hfre122,1,no,5/1/18,6,5/1/18,no,78,1,8,0,8.521,NA,,,0.016,0,0,
H,fre,1,2,3,1,Hfre123,1,no,5/1/18,4,5/1/18,no,37,1,7,0,4.921,NA,,,0.007,0,0,
H,fre,1,2,4,1,Hfre124,1,no,5/1/18,NA,NA,NA,1,0,5,0,1.513,NA,,,0.01,1,0,
H,fre,1,2,5,1,Hfre125,1,no,5/1/18,1,5/1/18,no,0,3,0,3,0.485,NA,,,need microbalance,0,0,
H,gla,1,1,1,1,Hgla111,1,yes,5/1/18,2,5/1/18,no,4,3,0,0,1.184,NA,,,0.004,0,0,
H,gla,1,1,1,2,Hgla111,1,yes,5/1/18,NA,NA,NA,0,4,0,0,0.732,NA,,,NA,0,0,
H,gla,1,1,2,1,Hgla112,4,no,5/1/18,NA,NA,NA,90,7,0,0,15.368,NA,,,0.018,1,0,
H,gla,1,1,3,1,Hgla113,1,no,5/1/18,NA,NA,NA,23,15,0,0,4.171,NA,,,0.006,1,0,
H,gla,1,1,4,1,Hgla114,4,no,5/1/18,NA,NA,NA,43,8,0,0,8.406,NA,,,0.008,0,0,
H,gla,1,1,5,1,Hgla115,4,no,5/1/18,NA,NA,NA,29,6,0,0,6.323,NA,,,0.006,1,0,
H,gla,1,2,1,1,Hgla121,1,yes,5/1/18,NA,NA,NA,0,7,0,0,0.596,NA,,,need microbalance,0,0,
H,gla,1,2,1,2,Hgla121,0,yes,5/1/18,NA,NA,NA,0,0,0,0,0.000,NA,,,NA,0,0,
H,gla,1,2,2,1,Hgla122,2,no,5/1/18,1.5,5/1/18,no,18,12,0,0,2.308,NA,,,0.005,0,0,
H,gla,1,2,3,1,Hgla123,1,yes,5/1/18,2,5/1/18,no,14,4,0,0,1.647,NA,,,need microbalance,0,0,
H,gla,1,2,3,2,Hgla123,1,yes,5/1/18,NA,NA,NA,0,0,0,0,0.245,NA,,,NA,0,1,
H,gla,1,2,4,1,Hgla124,2,no,5/1/18,NA,NA,NA,35,1,0,0,9.417,NA,,,0.016,0,0,
H,gla,1,2,5,1,Hgla125,2,no,5/1/18,NA,NA,NA,16,20,0,0,3.718,NA,,,0.009,0,0,
