Set,Species,Number,Mom,Neighbour,Tube,Indiv_ID,Flower_Count,Separate_Flr,Date_Collected,Diameter,Date_Measured,Measured_After_Collection,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Reproductive_Biomass_mg,Seed_Biomass_mg,Inflor_Height,Branch_Lengths,Vegetative_Biomass,Empty_Flrs,Buds,Notes
B,fre,1,1,2,1,Bfre112,1,no,4/29/18,3,4/30/18,yes,23,2,7,0,2.963,2.286,,,0.003,0,0,
B,fre,1,1,3,1,Bfre113,1,no,4/29/18,NA,NA,NA,19,3,4,1,3.843,NA,,,0.002,0,0,
B,fre,1,1,4,1,Bfre114,1,no,4/29/18,5.5,4/30/18,yes,116,3,8,0,10.268,7.728,,,0.014,0,0,
B,fre,1,1,5,1,Bfre115,1,no,4/29/18,NA,NA,NA,92,32,6,0,11.542,NA,,,0.019,0,0,
B,fre,1,2,1,1,Bfre121,1,no,4/29/18,2,4/30/18,yes,3,13,5,2,1.475,0.834,,,0.005,0,0,
B,fre,1,2,2,1,Bfre122,1,no,4/29/18,7,4/30/18,yes,174,7,9,0,19.862,15.754,,,0.022,0,0,
B,fre,1,2,3,1,Bfre123,1,no,4/29/18,NA,NA,NA,10,2,4,1,2.279,NA,,,0.003,0,0,
B,fre,1,2,4,1,Bfre124,4,no,4/29/18,NA,NA,NA,156,83,22,9,35.057,NA,,,0.046,0,0,
B,fre,1,2,5,1,Bfre125,1,no,4/29/18,NA,NA,NA,151,8,9,0,15.930,NA,,,0.017,0,0,
B,gla,1,1,1,1,Bgla111,2,no,4/29/18,NA,NA,NA,24,17,0,0,7.575,NA,,,0.016,1,0,
B,gla,1,1,2,1,Bgla112,3,no,4/29/18,NA,NA,NA,43,3,0,0,10.723,NA,,,0.017,1,0,
B,gla,1,1,3,1,Bgla113,3,no,4/29/18,NA,NA,NA,40,11,0,0,11.479,NA,,,0.029,0,0,
B,gla,1,1,4,1,Bgla114,4,no,4/29/18,NA,NA,NA,125,12,0,0,23.977,NA,,,0.049,0,0,
B,gla,1,1,5,1,Bgla115,3,no,4/29/18,NA,NA,NA,96,9,0,0,20.440,NA,,,0.026,0,0,
B,gla,1,2,1,1,Bgla121,2,no,4/29/18,NA,NA,NA,15,7,0,0,3.921,NA,,,0.005,0,0,
B,gla,1,2,2,1,Bgla122,4,no,4/29/18,NA,NA,NA,62,42,0,0,11.594,NA,,,0.019,1,0,
B,gla,1,2,3,1,Bgla123,2,no,4/29/18,NA,NA,NA,27,0,0,0,7.877,NA,,,0.012,1,0,
B,gla,1,2,4,1,Bgla124,2,no,4/29/18,NA,NA,NA,10,4,0,0,3.050,NA,,,0.009,1,0,
B,gla,1,2,5,1,Bgla125,1,no,4/29/18,NA,NA,NA,0,1,0,0,0.708,NA,,,0.006,0,0,
B,cal,2,1,1,1,Bcal211,2,no,4/29/18,NA,NA,NA,15,36,3,9,9.089,NA,,,0.011,0,0,
B,cal,2,1,2,1,Bcal212,2,no,4/29/18,NA,NA,NA,4,2,3,5,2.011,NA,,,need microbalance,0,0,
B,cal,2,1,3,1,Bcal213,1,no,4/29/18,NA,NA,NA,112,5,9,0,7.501,NA,,,0.011,0,0,
B,cal,2,1,4,1,Bcal214,2,no,4/29/18,NA,NA,NA,76,17,12,1,15.013,NA,,,0.014,0,0,
B,cal,2,1,5,1,Bcal215,2,no,4/29/18,NA,NA,NA,36,9,7,1,8.237,NA,,,0.009,0,0,
B,cal,2,2,1,1,Bcal221,1,no,4/29/18,NA,NA,NA,59,10,6,0,8.299,NA,,,0.008,0,0,
B,cal,2,2,2,1,Bcal222,2,no,4/29/18,NA,NA,NA,138,10,18,0,23.417,NA,,,0.018,0,0,
B,cal,2,2,3,1,Bcal223,1,no,4/29/18,5.5,4/30/18,yes,87,4,9,0,12.224,9.88,,,0.01,0,0,
B,cal,2,2,4,1,Bcal224,1,no,4/29/18,1.5,4/30/18,yes,0,1,0,4,0.521,0.32,,,need microbalance,0,0,
B,cal,2,2,5,1,Bcal225,1,no,4/29/18,NA,NA,NA,66,5,8,0,12.871,NA,,,0.014,0,0,
B,fre,2,1,1,1,Bfre211,1,no,4/29/18,4.5,4/30/18,yes,42,26,6,1,7.031,5.172,,,0.015,0,0,
B,fre,2,1,2,1,Bfre212,1,no,4/29/18,2,4/30/18,yes,10,3,4,2,1.472,1.009,,,0.004,0,0,
B,fre,2,1,3,1,Bfre213,1,no,4/29/18,6,4/30/18,yes,113,8,8,0,12.383,9.599,,,0.016,0,0,
B,fre,2,1,4,1,Bfre214,1,no,4/29/18,4,4/30/18,yes,41,12,9,0,5.201,3.915,,,0.011,0,0,
B,fre,2,1,5,1,Bfre215,1,no,4/29/18,6,4/30/18,yes,96,10,8,0,12.853,10.085,,,0.025,0,0,
B,fre,2,2,1,1,Bfre221,1,no,4/29/18,3.5,4/30/18,yes,41,4,4,1,5.198,3.905,,,0.006,0,0,
B,fre,2,2,2,1,Bfre222,1,no,4/29/18,NA,NA,NA,14,6,1,3,2.906,NA,,,0.002,0,0,
B,fre,2,2,3,1,Bfre223,1,no,4/29/18,4,4/30/18,yes,59,2,8,0,7.519,5.271,,,0.011,0,0,
B,fre,2,2,4,1,Bfre224,1,no,4/29/18,4,4/30/18,yes,34,6,6,0,3.837,2.998,,,0.005,0,0,
B,fre,2,2,5,1,Bfre225,1,no,4/29/18,NA,NA,NA,2,2,1,0,0.333,NA,,,need microbalance,0,0,
B,gla,2,1,1,1,Bgla211,3,no,4/29/18,NA,NA,NA,45,5,0,0,8.647,NA,,,0.02,1,0,
B,gla,2,1,2,1,Bgla212,4,no,4/29/18,NA,NA,NA,126,1,0,0,28.461,NA,,,0.047,1,0,
B,gla,2,1,3,1,Bgla213,2,no,4/29/18,NA,NA,NA,17,3,0,0,2.983,NA,,,0.006,1,0,
B,gla,2,1,4,1,Bgla214,2,no,4/29/18,NA,NA,NA,17,2,0,0,3.904,NA,,,0.008,1,0,
