Set,Species,Number,Mom,Neighbour,Tube,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Chosen?,Hub,Plant ID,Seed Type ,Seed #
H,fre,1,2,2,1,78,1,8,0,No,,,,
H,fre,1,2,3,1,37,1,7,0,No,,,,
A,gla,1,1,1,1,13,0,0,0,No,,,,
A,gla,1,1,3,1,11,4,0,0,No,,,,
A,gla,1,1,4,1,6,0,0,0,No,,,,
A,gla,1,2,2,1,17,0,0,0,No,,,,
A,gla,1,2,2,2,6,0,0,0,No,,,,
A,gla,1,2,3,1,15,0,0,0,No,,,,
A,gla,1,2,5,1,12,1,0,0,No,,,,
B,gla,1,1,1,1,24,17,0,0,No,,,,
B,gla,1,1,2,1,43,3,0,0,No,,,,
B,gla,1,1,3,1,40,11,0,0,No,,,,
B,gla,1,1,4,1,125,12,0,0,No,,,,
B,gla,1,1,5,1,96,9,0,0,No,,,,
B,gla,1,2,1,1,15,7,0,0,No,,,,
B,gla,1,2,2,1,62,42,0,0,Yes,,,,
B,gla,1,2,3,1,27,0,0,0,No,,,,
B,gla,1,2,4,1,10,4,0,0,Yes,,,,
B,gla,2,1,1,1,45,5,0,0,No,,,,
B,gla,2,1,2,1,126,1,0,0,No,,,,
B,gla,2,1,3,1,17,3,0,0,No,,,,
B,gla,2,1,4,1,17,2,0,0,No,,,,
B,gla,2,1,5,1,37,7,0,0,No,,,,
B,gla,2,2,1,1,163,24,0,0,No,,,,
B,gla,2,2,2,1,54,5,0,0,No,,,,
B,gla,2,2,4,1,27,3,0,0,No,,,,
B,gla,2,2,5,1,108,11,0,0,No,,,,
C,gla,1,1,1,1,6,0,0,0,No,,,,
C,gla,1,1,2,1,12,0,0,0,No,,,,
C,gla,1,1,3,1,31,2,0,0,No,,,,
C,gla,1,1,4,1,13,1,0,0,No,,,,
C,gla,1,2,2,1,7,21,0,0,No,,,,
C,gla,1,2,3,1,18,1,0,0,No,,,,
C,gla,1,2,3,2,18,2,0,0,No,,,,
C,gla,1,2,4,1,12,2,0,0,No,,,,
C,gla,1,2,5,1,17,5,0,0,No,,,,
C,gla,2,1,1,1,9,6,0,0,No,,,,
C,gla,2,1,4,1,7,7,0,0,No,,,,
C,gla,2,2,1,1,25,8,0,0,No,,,,
C,gla,2,2,2,1,10,3,0,0,No,,,,
D,gla,1,1,1,1,25,0,0,0,No,,,,
D,gla,1,1,2,1,96,8,0,0,No,,,,
D,gla,1,1,3,1,32,0,0,0,No,,,,
D,gla,1,1,4,1,30,3,0,0,No,,,,
D,gla,1,1,4,2,40,20,0,0,No,,,,
D,gla,1,1,5,1,35,1,0,0,No,,,,
D,gla,1,2,1,1,33,0,0,0,No,,,,
D,gla,1,2,2,1,29,0,0,0,No,,,,
D,gla,1,2,2,2,55,1,0,0,No,,,,
D,gla,1,2,3,1,12,1,0,0,No,,,,
D,gla,1,2,4,1,65,10,0,0,No,,,,
D,gla,1,2,5,1,28,10,0,0,No,,,,
E,gla,1,1,2,1,10,1,0,0,No,,,,
E,gla,1,1,2,2,11,12,0,0,No,,,,
E,gla,1,1,3,1,20,0,0,0,No,,,,
E,gla,1,1,4,1,14,1,0,0,No,,,,
F,gla,1,1,1,1,9,4,0,0,No,,,,
F,gla,1,1,3,1,25,0,0,0,No,,,,
F,gla,1,1,4,1,11,0,0,0,No,,,,
F,gla,1,1,5,1,14,5,0,0,No,,,,
F,gla,1,2,2,1,6,4,0,0,No,,,,
F,gla,1,2,3,1,12,2,0,0,No,,,,
G,gla,1,1,1,1,44,2,0,0,No,,,,
G,gla,1,1,2,1,15,5,0,0,No,,,,
G,gla,1,1,3,1,15,0,0,0,No,,,,
G,gla,1,1,4,1,14,0,0,0,Yes,,,,
G,gla,1,1,5,1,23,7,0,0,Yes,,,,
G,gla,1,2,1,1,11,1,0,0,No,,,,
G,gla,1,2,2,1,9,5,0,0,No,,,,
G,gla,1,2,3,1,7,2,0,0,No,,,,
G,gla,1,2,5,1,16,8,0,0,No,,,,
H,gla,1,1,2,1,90,7,0,0,No,,,,
H,gla,1,1,3,1,23,15,0,0,No,,,,
H,gla,1,1,4,1,43,8,0,0,No,,,,
H,gla,1,1,5,1,29,6,0,0,No,,,,
H,gla,1,2,2,1,18,12,0,0,No,,,,
H,gla,1,2,3,1,14,4,0,0,No,,,,
H,gla,1,2,4,1,35,1,0,0,No,,,,
H,gla,1,2,5,1,16,20,0,0,No,,,,
